CREATE DATABASE 	Create a database.
CREATE EVENT 	Create and schedule a new event.
CREATE FUNCTION 	Creates a stored function.
CREATE FUNCTION UDF 	Create a user-defined function.
CREATE INDEX 	Create an index on one or more columns.
CREATE LOGFILE GROUP 	The CREATE LOGFILE GROUP statement is not supported by MariaDB. It was orig...
CREATE PACKAGE 	Create a stored package, in Oracle-mode.
CREATE PACKAGE BODY 	Creates the package body for a stored package.
CREATE PROCEDURE 	Creates a stored procedure.
CREATE ROLE 	Add new roles.
CREATE SEQUENCE 	Creates a sequence that generates new values when called with NEXT VALUE FOR.
CREATE SERVER 	Define a server.
CREATE TABLE 	Creates a new table.
CREATE TABLESPACE 	CREATE TABLESPACE is not available in MariaDB.
CREATE TRIGGER 	Create a new trigger.
CREATE USER 	Create new MariaDB accounts.
CREATE VIEW 	Create or replace a view.
Silent Column Changes 	MariaDB silently changes column specifications in certain situations.
Generated (Virtual and Persistent/Stored) Columns 	Generated (virtual and persistent/stored) columns.
Invisible Columns 	Invisible columns are hidden in certain contexts. 
